state_code,dist_code,year,state_name,district_name,total_cases
15,15,2018,Uttarakhand,Pithoragarh,2612
15,16,2018,Uttarakhand,Rudraprayag,149
16,1,2018,West Bengal,Malda,5285
16,2,2018,West Bengal,Hooghly,14049
16,3,2018,West Bengal,Calcutta,5309
16,4,2018,West Bengal,Jalpaiguri,10016
16,6,2018,West Bengal,Coochbehar,10522
16,7,2018,West Bengal,Paschim Medinpur,23688
16,8,2018,West Bengal,Birbhum,9520
16,9,2018,West Bengal,Purba Medinipur,8620
16,10,2018,West Bengal,Purulia,11030
16,11,2018,West Bengal,Howrah,26335
16,12,2018,West Bengal,Murshidabad,15628
16,13,2018,West Bengal,South Dinajpur,14195
16,14,2018,West Bengal,North  Twenty Four Parganas,20026
16,17,2018,West Bengal,Darjeeling,2707
16,18,2018,West Bengal,Purba Bardhaman,12566
16,19,2018,West Bengal,Bankura,5746
16,20,2018,West Bengal,South Twenty Four Parganas,26461
16,21,2018,West Bengal,North Dinajpur,9666
16,22,2018,West Bengal,Nadia,14080
16,23,2018,West Bengal,kalimpong,825
16,24,2018,West Bengal,Paschim Bardhaman,20632
16,25,2018,West Bengal,Jhargram,955
17,11,2018,Gujarat,GANDHINAGAR,14014
17,13,2018,Gujarat,Ahmedabad,62558
17,14,2018,Gujarat,SURAT,22278
17,15,2018,Gujarat,Mahesana,19855
17,16,2018,Gujarat,RAJKOT,38133
17,17,2018,Gujarat,Amreli,7907
17,18,2018,Gujarat,Anand,15484
17,19,2018,Gujarat,Banaskanth at Palanpur,19188
17,20,2018,Gujarat,Bharuch,13967
17,21,2018,Gujarat,Bhavnagar,23411
17,22,2018,Gujarat,Dahod,12784
17,23,2018,Gujarat,Jamnagar,12472
17,24,2018,Gujarat,Junagadh,8874
17,25,2018,Gujarat,Kheda at Nadiad,17235
17,26,2018,Gujarat,kachchh at Bhuj,16968
17,27,2018,Gujarat,Panchmahal at Godhra,10676
17,28,2018,Gujarat,Patan,13400
17,29,2018,Gujarat,Sabarkantha at Himmatnagar,9444
17,30,2018,Gujarat,Surendranagar,11803
17,31,2018,Gujarat,Vadodara,61930
17,32,2018,Gujarat,Navsari,13598
17,33,2018,Gujarat,Narmada,4483
17,34,2018,Gujarat,Tapi,5020
17,35,2018,Gujarat,Valsad,11560
17,36,2018,Gujarat,Porbandar,6862
17,37,2018,Gujarat,Gir Somnath at Veraval,10827
17,38,2018,Gujarat,Aravalli at Modasa,11394
17,39,2018,Gujarat,MORBI,8538
17,40,2018,Gujarat,Devbhumi Dwarka at Khambhaliya,5325
17,41,2018,Gujarat,Chhota Udepur,7254
17,42,2018,Gujarat,Mahisagar at Lunawada,6464
17,43,2018,Gujarat,BOTAD,7710
18,1,2018,Chhattisgarh,Korba,10094
18,2,2018,Chhattisgarh,Bilaspur,19917
18,3,2018,Chhattisgarh,Raipur,30557
18,4,2018,Chhattisgarh,Surguja,2097
18,4,2018,Chhattisgarh,Surguja at Ambikapur,209
18,5,2018,Chhattisgarh,Dhamtari,3575
18,6,2018,Chhattisgarh,Raigarh,8370
18,7,2018,Chhattisgarh,Durg,11494
18,9,2018,Chhattisgarh,Kawardha,2982
18,10,2018,Chhattisgarh,Rajnandgaon,5555
18,11,2018,Chhattisgarh,Koriya,1420
18,12,2018,Chhattisgarh,Mahasamund,3150
18,13,2018,Chhattisgarh,Kanker,1784
18,15,2018,Chhattisgarh,Bastar,2011
18,16,2018,Chhattisgarh,Jashpur,1957
18,17,2018,Chhattisgarh,Dantewada,1605
18,18,2018,Chhattisgarh,Janjgir,6792
18,19,2018,Chhattisgarh,Balod,2615
18,20,2018,Chhattisgarh,Bemetara,2996
18,21,2018,Chhattisgarh,Surajpur,1637
18,22,2018,Chhattisgarh,Kondagaon,1237
18,23,2018,Chhattisgarh,Balodabazar,5078
18,24,2018,Chhattisgarh,Mungeli,1425
18,25,2018,Chhattisgarh,Balrampur Ramanujganj,1472
19,1,2018,Mizoram,Aizawl,651
20,1,2018,Tripura,West Tripura,1774
20,2,2018,Tripura,North Tripura,603
20,3,2018,Tripura,SouthTripura,675
20,5,2018,Tripura,Unakoti  Tripura,1035
20,6,2018,Tripura,Gomati District,684
20,9,2018,Tripura,Sepahijala Tripura,336
20,10,2018,Tripura,Khowai Tripura,610
20,11,2018,Tripura,Dhalai Tripura,622
21,1,2018,Meghalaya,East Khasi Hills,1819
21,2,2018,Meghalaya,West Garo Hills,544
21,3,2018,Meghalaya,West Jaintia Hills,36
21,4,2018,Meghalaya,East Garo Hills,178
21,5,2018,Meghalaya,Ri Bhoi,94
21,7,2018,Meghalaya,West Khasi Hills,1
22,1,2018,Punjab,Ludhiana,56937
22,2,2018,Punjab,Jalandhar,46528
22,3,2018,Punjab,Rupnagar,7895
22,4,2018,Punjab,Fatehgarh Sahib,15514
22,5,2018,Punjab,Patiala,32845
22,6,2018,Punjab,Ferozepur,9736
22,8,2018,Punjab,Amritsar,22647
22,9,2018,Punjab,Faridkot,4815
22,10,2018,Punjab,Gurdaspur,10314
22,11,2018,Punjab,Kapurthala,12568
22,12,2018,Punjab,Moga,8502
22,13,2018,Punjab,Mansa,6361
22,14,2018,Punjab,Sri Muktsar Sahib,6385
22,15,2018,Punjab,SBS Nagar,6319
22,16,2018,Punjab,Barnala,6815
22,17,2018,Punjab,Bathinda,18536
22,18,2018,Punjab,Hoshiarpurr,7634
22,18,2018,Punjab,Hoshiarpur,360
22,19,2018,Punjab,Sangrur,14654
22,21,2018,Punjab,Pathankot,4127
22,23,2018,Punjab,Tarn Taran,8145
22,24,2018,Punjab,Mohali,9795
22,26,2018,Punjab,Fazilka,14943
23,1,2018,Madhya Pradesh,Jabalpur,22746
23,2,2018,Madhya Pradesh,Narsinghpur,7285
23,3,2018,Madhya Pradesh,Hoshangabad,10875
23,4,2018,Madhya Pradesh,Harda,2995
23,5,2018,Madhya Pradesh,Umaria,3013
23,6,2018,Madhya Pradesh,Dindori,2409
23,7,2018,Madhya Pradesh,Panna,5600
23,8,2018,Madhya Pradesh,Alirajpur,3795
23,9,2018,Madhya Pradesh,Jhabua,4339
23,10,2018,Madhya Pradesh,Khandwa,6849
23,11,2018,Madhya Pradesh,Shahdol,6409
23,12,2018,Madhya Pradesh,Sheopur,3310
23,13,2018,Madhya Pradesh,Datia,5312
23,14,2018,Madhya Pradesh,Rajgarh,7842
23,15,2018,Madhya Pradesh,Morena,10144
23,16,2018,Madhya Pradesh,Mandleshwar,10451
23,17,2018,Madhya Pradesh,Neemuch,5028
23,18,2018,Madhya Pradesh,Barwani,6534
23,19,2018,Madhya Pradesh,Shajapur,6186
23,20,2018,Madhya Pradesh,Chhindwara,15727
23,21,2018,Madhya Pradesh,Sidhi,3860
23,22,2018,Madhya Pradesh,Anuppur,2769
23,23,2018,Madhya Pradesh,Shivpuri,8470
23,24,2018,Madhya Pradesh,Raisen,4497
23,25,2018,Madhya Pradesh,Sehore,6294
23,26,2018,Madhya Pradesh,Balaghat,8559
23,27,2018,Madhya Pradesh,Damoh,7275
23,28,2018,Madhya Pradesh,Vidisha,7134
23,29,2018,Madhya Pradesh,Bhind,6754
23,30,2018,Madhya Pradesh,Guna,6117
23,31,2018,Madhya Pradesh,Singrauli,3823
